date_time,song_name,artists,duration,user_name
2023-02-11 10:08:56,"Vaamanan - Oru Devathai Video | Jai, Priya Anand | Yuvan",SonyMusicSouthVEVO,05:45,Vignaraj#6477
2023-02-11 10:08:58,"Hero Video Songs - Tamil |Over'a Feel Pannuren Video Song | Sivakarthikeyan,Kalyani | Yuvan Shankar",Lahari Music | T-Series,04:48,Vignaraj#6477
2023-02-11 10:11:33,Bodhai Kaname Video Song | Oh Manapenne | Anirudh | Shashaa | Harish Kalyan | Priya Bhavanishankar,Think Music India,04:21,Vignaraj#6477
2023-02-11 10:11:42,Megham Karukatha - Official Video Song | Thiruchitrambalam | Dhanush | Anirudh | Sun Pictures,Sun TV,05:42,Vignaraj#6477
2023-02-11 10:11:44,"Kaadhal En Kaviye - Lyrical | Salmon 3D | Sid Sriram | Vijay Yesudas, Jonita Doda | Sreejith Edavana",Lahari Music | T-Series,05:12,Vignaraj#6477
2023-02-11 10:11:47,Adiye Video Song | Bachelor | G.V. Prakash Kumar | Dhibu Ninan Thomas | Sathish | G Dilli Babu,Think Music India,05:37,Vignaraj#6477
2023-02-11 10:11:49,"Don - Bae Music Video | Sivakarthikeyan, Priyanka Mohan | Anirudh Ravichander | Cibi Chakaravarthi",Sony Music South,04:02,Vignaraj#6477
2023-02-11 10:11:52,Mudhal Nee Mudivum Nee - Title Track Video | Darbuka Siva | Sid Sriram | Thamarai,SonyMusicSouthVEVO,06:35,Vignaraj#6477
2023-02-11 10:11:55,Kaalathukkum Nee Venum Video Song | VTK | HDR| Silambarasan TR |Gautham Vasudev Menon|@ARRahman,Think Music India,06:15,Vignaraj#6477
2023-02-11 10:11:58,"Viruman - Kanja Poovu Kannala Video | Karthi, Aditi Shankar | Yuvan Shankar Raja | Muthaiya",Sony Music South,04:01,Vignaraj#6477
2023-02-11 10:12:01,"Oh My Kadavule - Kadhaippoma Video | Ashok Selvan, Ritika Singh | Leon James",SonyMusicSouthVEVO,04:55,Vignaraj#6477
